,Name,Platform,Year,Genre,Publisher,Na Sales,Eu Sales,Jp Sales,Other Sales,Global Sales,Console Type,Console Manufacturer,Console Released,Console Discontinued,Consoles Sold
11054,Smuggler's Run: Warzones,GameCube,2002,Misc,Take-Two Interactive,60000.0,20000.0,0.0,0.0,0.08,Home,Nintendo,2001,2007,21740000.0
11055,Kaidan Restaurant: Ura Menu 100-Sen,Nintendo DS,2010,Misc,Namco Bandai Games,0.0,0.0,80000.0,0.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11056,R/C Stunt Copter,PlayStation,1998,Simulation,Interplay,40000.0,30000.0,0.0,10000.0,0.08,Home,Sony,1994,2006,102490000.0
11057,Yamakawa Shuppansha Kanshuu: Shousetsu Sekaishi B,Nintendo DS,2007,Misc,Namco Bandai Games,0.0,0.0,80000.0,0.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11058,Pac-Man and the Ghostly Adventures 2,Nintendo 3DS,2014,Adventure,Namco Bandai Games,30000.0,50000.0,0.0,10000.0,0.08,Handheld,Nintendo,2011,2020,75940000.0
11059,Final Fantasy VI,PlayStation,1999,Role-Playing,Sony Computer Entertainment,0.0,0.0,80000.0,10000.0,0.08,Home,Sony,1994,2006,102490000.0
11060,Horrid Henry's Horrid Adventure,Nintendo DS,2010,Adventure,Asylum Entertainment,0.0,70000.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11061,The Hidden,Nintendo 3DS,0,Adventure,Unknown,80000.0,0.0,0.0,0.0,0.08,Handheld,Nintendo,2011,2020,75940000.0
11062,Jikkyou Powerful Major League 2009,PlayStation 2,2009,Sports,Konami Digital Entertainment,0.0,0.0,80000.0,0.0,0.08,Home,Sony,2000,2013,155000000.0
11063,Princess in Love,Nintendo DS,2009,Simulation,DTP Entertainment,70000.0,0.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11064,The Legend of Alon D'ar,PlayStation 2,2001,Role-Playing,Ubisoft,40000.0,30000.0,0.0,10000.0,0.08,Home,Sony,2000,2013,155000000.0
11065,Space Channel 5 Special Edition,PlayStation 2,2003,Misc,Agetec,40000.0,30000.0,0.0,10000.0,0.08,Home,Sony,2000,2013,155000000.0
11066,Cate West: The Vanishing Files,Wii,2009,Adventure,Oxygen Interactive,70000.0,0.0,0.0,10000.0,0.08,Home,Nintendo,2006,2013,101630000.0
11067,Jimmie Johnson's Anything With an Engine,Wii,2011,Racing,Konami Digital Entertainment,70000.0,0.0,0.0,10000.0,0.08,Home,Nintendo,2006,2013,101630000.0
11068,Black/Matrix,Sega Saturn,1998,Strategy,NEC Interchannel,0.0,0.0,80000.0,0.0,0.08,Home,Sega,1994,2000,9260000.0
11069,Big Mutha Truckers,GameCube,2003,Racing,Empire Interactive,60000.0,20000.0,0.0,0.0,0.08,Home,Nintendo,2001,2007,21740000.0
11070,Qubed,Xbox 360,2009,Puzzle,Atari,70000.0,0.0,0.0,10000.0,0.08,Home,Microsoft,2005,2016,84000000.0
11071,TrackMania DS,Nintendo DS,2008,Racing,Focus Home Interactive,60000.0,10000.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11072,Junior Classic Books & Fairytales,Nintendo DS,2010,Misc,GSP,60000.0,10000.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11073,The King of Fighters '96,PlayStation,1997,Fighting,SNK,0.0,0.0,70000.0,10000.0,0.08,Home,Sony,1994,2006,102490000.0
11074,Prey the Stars,Nintendo DS,2008,Action,Tecmo Koei,70000.0,0.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11075,Knights Contract,Xbox 360,2011,Action,Namco Bandai Games,50000.0,30000.0,0.0,10000.0,0.08,Home,Microsoft,2005,2016,84000000.0
11076,Chronicles of Mystery: The Secret Tree of Life,Nintendo DS,2011,Adventure,City Interactive,30000.0,40000.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11077,Uta no Prince-Sama: All Star After Secret,PlayStation Portable,2015,Action,Broccoli,0.0,0.0,80000.0,0.0,0.08,Handheld,Sony,2004,2014,82000000.0
11078,The Space Bar,Sega Saturn,1996,Adventure,Sega,0.0,0.0,80000.0,0.0,0.08,Home,Sega,1994,2000,9260000.0
11079,Bust-A-Move 2 Arcade Edition,Nintendo 64,1997,Puzzle,Acclaim Entertainment,60000.0,20000.0,0.0,0.0,0.08,Home,Nintendo,1996,2002,32930000.0
